ID,lifestage,sex,unit_of_measure,country,recorded_year,recorded_value
1009,Adult,F,"Per hundred thousand inhabitants","England and Wales",2009,18.82
1010,Adult,F,"Per hundred thousand inhabitants",Portugal,2023,18.98
1011,Adult,F,"Per hundred thousand inhabitants",Montenegro,2013,8.11
1012,Adult,F,"Per hundred thousand inhabitants","England and Wales",2010,18.75
1013,Adult,F,"Per hundred thousand inhabitants",Montenegro,2014,12.79
1014,Adult,F,"Per hundred thousand inhabitants",Romania,2008,14.14
1015,Adult,F,"Per hundred thousand inhabitants","England and Wales",2011,18.34
1016,Adult,F,"Per hundred thousand inhabitants",Montenegro,2015,14.39
1017,Adult,F,"Per hundred thousand inhabitants",Romania,2009,13.90
1018,Adult,F,"Per hundred thousand inhabitants",Montenegro,2016,14.77
1019,Adult,F,"Per hundred thousand inhabitants",Romania,2010,13.73
1020,Adult,F,"Per hundred thousand inhabitants",Montenegro,2017,11.04
1021,Adult,F,"Per hundred thousand inhabitants",Romania,2011,14.92
1022,Adult,F,"Per hundred thousand inhabitants",Romania,2012,16.63
1023,Adult,F,"Per hundred thousand inhabitants",Romania,2013,18.29
1024,Adult,F,"Per hundred thousand inhabitants",Ireland,2020,8.03
1025,Adult,F,"Per hundred thousand inhabitants",Romania,2014,18.10
1026,Adult,F,"Per hundred thousand inhabitants",Ireland,2021,7.51
1027,Adult,F,"Per hundred thousand inhabitants",Romania,2015,17.10
1028,Adult,F,"Per hundred thousand inhabitants",Romania,2016,16.76
1029,Adult,F,"Per hundred thousand inhabitants",Ireland,2022,10.35
1030,Adult,F,"Per hundred thousand inhabitants","England and Wales",2012,17.94
1031,Adult,F,"Per hundred thousand inhabitants",Romania,2017,13.35
1032,Adult,F,"Per hundred thousand inhabitants","England and Wales",2013,16.61
1033,Adult,F,"Per hundred thousand inhabitants",Ireland,2023,11.19
1034,Adult,F,"Per hundred thousand inhabitants",Romania,2018,11.50
1035,Adult,F,"Per hundred thousand inhabitants","England and Wales",2014,16.91
1036,Adult,F,"Per hundred thousand inhabitants",Iceland,2008,7.81
1037,Adult,F,"Per hundred thousand inhabitants",Romania,2019,11.35
1038,Adult,F,"Per hundred thousand inhabitants","England and Wales",2015,16.71
1039,Adult,F,"Per hundred thousand inhabitants",Iceland,2009,6.06
1040,Adult,F,"Per hundred thousand inhabitants",Romania,2020,12.49
1041,Adult,F,"Per hundred thousand inhabitants","England and Wales",2016,16.36
1042,Adult,F,"Per hundred thousand inhabitants",Romania,2021,12.60
1043,Adult,F,"Per hundred thousand inhabitants","England and Wales",2017,16.90
1044,Adult,F,"Per hundred thousand inhabitants",Romania,2022,12.93
1045,Adult,F,"Per hundred thousand inhabitants","England and Wales",2018,15.96
1046,Adult,F,"Per hundred thousand inhabitants",Iceland,2010,6.77
1047,Adult,F,"Per hundred thousand inhabitants",Romania,2023,13.01
1048,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2008,17.12
1049,Adult,F,"Per hundred thousand inhabitants",Serbia,2008,10.34
1050,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2009,17.44
1051,Adult,F,"Per hundred thousand inhabitants",Serbia,2009,12.97
1052,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2010,17.55
1053,Adult,F,"Per hundred thousand inhabitants",Iceland,2011,6.84
1054,Adult,F,"Per hundred thousand inhabitants",Serbia,2010,13.81
1055,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2011,19.17
1056,Adult,F,"Per hundred thousand inhabitants",Montenegro,2018,5.22
1057,Adult,F,"Per hundred thousand inhabitants",Iceland,2012,11.03
1058,Adult,F,"Per hundred thousand inhabitants",Serbia,2011,13.67
1059,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2012,19.10
1060,Adult,F,"Per hundred thousand inhabitants",Montenegro,2019,10.95
1061,Adult,F,"Per hundred thousand inhabitants",Iceland,2013,5.13
1062,Adult,F,"Per hundred thousand inhabitants",Serbia,2012,7.78
1063,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2013,18.19
1064,Adult,F,"Per hundred thousand inhabitants",Serbia,2013,13.09
1065,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2014,17.80
1066,Adult,F,"Per hundred thousand inhabitants",Iceland,2014,2.45
1067,Adult,F,"Per hundred thousand inhabitants",Montenegro,2020,10.60
1068,Adult,F,"Per hundred thousand inhabitants",Serbia,2014,11.75
1069,Adult,F,"Per hundred thousand inhabitants","Scotland (NUTS 2021)",2015,17.46
1070,Adult,F,"Per hundred thousand inhabitants",Iceland,2015,6.64
1071,Adult,F,"Per hundred thousand inhabitants",Montenegro,2021,12.85
1072,Adult,F,"Per hundred thousand inhabitants",Serbia,2015,11.70
1073,Adult,F,"Per hundred thousand inhabitants",Iceland,2016,5.86
1074,Adult,F,"Per hundred thousand inhabitants",Montenegro,2022,15.92
1075,Adult,F,"Per hundred thousand inhabitants",Serbia,2016,13.34
1076,Adult,F,"Per hundred thousand inhabitants",Montenegro,2023,14.08
1077,Adult,F,"Per hundred thousand inhabitants",Iceland,2017,8.73
1078,Adult,F,"Per hundred thousand inhabitants",Serbia,2017,12.72
1079,Adult,F,"Per hundred thousand inhabitants","North Macedonia",2009,7.10
1080,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2008,6.83
1081,Adult,F,"Per hundred thousand inhabitants",Serbia,2018,14.37
1082,Adult,F,"Per hundred thousand inhabitants","North Macedonia",2010,6.84
1083,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2009,6.70
1084,Adult,F,"Per hundred thousand inhabitants",Serbia,2019,15.02
1085,Adult,F,"Per hundred thousand inhabitants",Iceland,2018,6.29
1086,Adult,F,"Per hundred thousand inhabitants",Serbia,2020,14.59
1087,Adult,F,"Per hundred thousand inhabitants",Iceland,2019,9.38
1088,Adult,F,"Per hundred thousand inhabitants","North Macedonia",2011,6.17
1089,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2010,6.74
1090,Adult,F,"Per hundred thousand inhabitants","North Macedonia",2016,12.29
1091,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2011,6.31
1092,Adult,F,"Per hundred thousand inhabitants","North Macedonia",2017,8.52
1093,Adult,F,"Per hundred thousand inhabitants",Iceland,2020,5.92
1094,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2012,7.24
1095,Adult,F,"Per hundred thousand inhabitants","North Macedonia",2022,11.61
1096,Adult,F,"Per hundred thousand inhabitants",Iceland,2021,8.59
1097,Adult,F,"Per hundred thousand inhabitants",Serbia,2021,16.91
1098,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2013,8.88
1099,Adult,F,"Per hundred thousand inhabitants","North Macedonia",2023,10.88
1100,Adult,F,"Per hundred thousand inhabitants",Serbia,2022,15.00
1101,Adult,F,"Per hundred thousand inhabitants",Iceland,2022,8.42
1102,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2014,8.00
1103,Adult,F,"Per hundred thousand inhabitants",Serbia,2023,12.74
1104,Adult,F,"Per hundred thousand inhabitants",Sweden,2008,10.66
1105,Adult,F,"Per hundred thousand inhabitants",Iceland,2023,9.13
1106,Adult,F,"Per hundred thousand inhabitants",Malta,2008,17.57
1107,Adult,F,"Per hundred thousand inhabitants",Italy,2008,9.96
1108,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2015,5.98
1109,Adult,F,"Per hundred thousand inhabitants",Malta,2009,17.07
1110,Adult,F,"Per hundred thousand inhabitants",Italy,2009,10.77
1111,Adult,F,"Per hundred thousand inhabitants",Malta,2010,20.81
1112,Adult,F,"Per hundred thousand inhabitants",Sweden,2009,10.07
1113,Adult,F,"Per hundred thousand inhabitants",Italy,2010,11.42
1114,Adult,F,"Per hundred thousand inhabitants",Italy,2011,10.89
1115,Adult,F,"Per hundred thousand inhabitants",Malta,2011,20.49
1116,Adult,F,"Per hundred thousand inhabitants",Italy,2012,10.87
1117,Adult,F,"Per hundred thousand inhabitants",Malta,2012,28.69
1118,Adult,F,"Per hundred thousand inhabitants",Italy,2013,10.39
1119,Adult,F,"Per hundred thousand inhabitants",Malta,2013,25.90
1120,Adult,F,"Per hundred thousand inhabitants",Italy,2014,8.74
1121,Adult,F,"Per hundred thousand inhabitants",Sweden,2010,10.84
1122,Adult,F,"Per hundred thousand inhabitants",Malta,2014,21.65
1123,Adult,F,"Per hundred thousand inhabitants",Malta,2015,22.93
1124,Adult,F,"Per hundred thousand inhabitants",Sweden,2011,10.44
1125,Adult,F,"Per hundred thousand inhabitants",Malta,2016,20.87
1126,Adult,F,"Per hundred thousand inhabitants",Sweden,2012,9.47
1127,Adult,F,"Per hundred thousand inhabitants",Italy,2015,7.98
1128,Adult,F,"Per hundred thousand inhabitants",Malta,2017,29.38
1129,Adult,F,"Per hundred thousand inhabitants",Sweden,2013,8.56
1130,Adult,F,"Per hundred thousand inhabitants",Italy,2016,8.67
1131,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2016,6.54
1132,Adult,F,"Per hundred thousand inhabitants",Sweden,2014,8.56
1133,Adult,F,"Per hundred thousand inhabitants",Italy,2017,9.20
1134,Adult,F,"Per hundred thousand inhabitants",Sweden,2015,8.36
1135,Adult,F,"Per hundred thousand inhabitants","Northern Ireland (UK) (NUTS 2021)",2017,7.47
1136,Adult,F,"Per hundred thousand inhabitants",Sweden,2016,8.79
1137,Adult,F,"Per hundred thousand inhabitants",Kosovo*,2011,5.17
1138,Adult,F,"Per hundred thousand inhabitants",Malta,2018,37.30
1139,Adult,F,"Per hundred thousand inhabitants",Kosovo*,2016,6.79
1140,Adult,F,"Per hundred thousand inhabitants",Italy,2018,9.80
1141,Adult,F,"Per hundred thousand inhabitants",Malta,2019,31.47
1142,Adult,F,"Per hundred thousand inhabitants",Kosovo*,2017,5.83
1143,Adult,F,"Per hundred thousand inhabitants",Italy,2019,10.23
1144,Adult,F,"Per hundred thousand inhabitants",Sweden,2017,8.76
1145,Adult,F,"Per hundred thousand inhabitants",Italy,2020,8.67
1146,Adult,F,"Per hundred thousand inhabitants",Kosovo*,2018,6.39
1147,Adult,F,"Per hundred thousand inhabitants",Sweden,2018,8.55
1148,Adult,F,"Per hundred thousand inhabitants",Kosovo*,2019,7.19
1149,Adult,F,"Per hundred thousand inhabitants",Sweden,2019,10.07
1150,Adult,F,"Per hundred thousand inhabitants",Malta,2020,27.63
1151,Adult,F,"Per hundred thousand inhabitants",Kosovo*,2020,5.17
1152,Adult,F,"Per hundred thousand inhabitants",Malta,2021,25.30
1153,Adult,F,"Per hundred thousand inhabitants",Malta,2022,25.44
1154,Adult,F,"Per hundred thousand inhabitants",Malta,2023,21.12
1155,Adult,F,"Per hundred thousand inhabitants",Netherlands,2008,14.33
1156,Adult,M,Number,Bulgaria,2016,7090.00
1157,Adult,F,"Per hundred thousand inhabitants",Netherlands,2009,13.57
1158,Adult,M,Number,Albania,2008,2910.00
1159,Adult,M,Number,Bulgaria,2017,6740.00
1160,Adult,M,Number,Bulgaria,2018,6411.00
1161,Adult,M,Number,Bulgaria,2019,6212.00
1162,Adult,F,"Per hundred thousand inhabitants",Netherlands,2010,13.10
1163,Adult,F,"Per hundred thousand inhabitants",Sweden,2020,10.75
1164,Adult,M,Number,Albania,2009,4466.00
1165,Adult,M,Number,Bulgaria,2020,6029.00
1166,Adult,F,"Per hundred thousand inhabitants",Netherlands,2011,11.77
1167,Adult,M,Number,Albania,2010,4461.00
1168,Adult,M,Number,Bulgaria,2021,5649.00
1169,Adult,M,Number,Albania,2011,4454.00
1170,Adult,M,Number,Bulgaria,2022,5360.00
1171,Adult,F,"Per hundred thousand inhabitants",Sweden,2021,11.11
1172,Adult,M,Number,Albania,2012,4439.00
1173,Adult,F,"Per hundred thousand inhabitants",Netherlands,2012,10.56
1174,Adult,M,Number,Bulgaria,2023,5291.00
1175,Adult,F,"Per hundred thousand inhabitants",Sweden,2022,12.86
1176,Adult,M,Number,Albania,2013,4802.00
1177,Adult,F,"Per hundred thousand inhabitants",Netherlands,2013,9.92
1178,Adult,M,Number,Switzerland,2008,4943.00
1179,Adult,F,"Per hundred thousand inhabitants",Sweden,2023,15.80
1180,Adult,M,Number,Albania,2014,5493.00
1181,Adult,F,"Per hundred thousand inhabitants",Netherlands,2014,9.71
1182,Adult,M,Number,Switzerland,2009,5206.00
1183,Adult,F,"Per hundred thousand inhabitants",Netherlands,2015,7.14
1184,Adult,M,Number,Switzerland,2010,5405.00
1185,Adult,F,"Per hundred thousand inhabitants",Netherlands,2016,8.33
1186,Adult,M,Number,Switzerland,2011,5298.00
1187,Adult,F,"Per hundred thousand inhabitants",Slovenia,2008,6.89
1188,Adult,M,Number,Albania,2015,5771.00
1189,Adult,F,"Per hundred thousand inhabitants",Netherlands,2017,8.32
1190,Adult,M,Number,Switzerland,2012,5743.00
1191,Adult,F,"Per hundred thousand inhabitants",Slovenia,2009,7.54
1192,Adult,M,Number,Albania,2016,5875.00
1193,Adult,M,Number,Switzerland,2013,6275.00
1194,Adult,F,"Per hundred thousand inhabitants",Slovenia,2010,6.14
1195,Adult,M,Number,Albania,2017,5541.00
1196,Adult,F,"Per hundred thousand inhabitants",Netherlands,2018,8.68
1197,Adult,M,Number,Switzerland,2014,6179.00
1198,Adult,F,"Per hundred thousand inhabitants",Slovenia,2011,6.59
1199,Adult,M,Number,Albania,2018,5186.00
1200,Adult,F,"Per hundred thousand inhabitants",Slovenia,2012,8.22
1201,Adult,M,Number,Switzerland,2015,6124.00
1202,Adult,F,"Per hundred thousand inhabitants",Slovenia,2013,7.38
1203,Adult,M,Number,Switzerland,2016,6118.00
1204,Adult,F,"Per hundred thousand inhabitants",Slovenia,2014,10.27
1205,Adult,M,Number,Switzerland,2017,6154.00
1206,Adult,M,Number,Albania,2019,4936.00
1207,Adult,M,Number,France,2022,69294.00
1208,Adult,M,Number,Switzerland,2018,6190.00
1209,Adult,M,Number,Albania,2020,4536.00
1210,Adult,M,Number,France,2023,72664.00
1211,Adult,M,Number,Switzerland,2019,6167.00
1212,Adult,M,Number,Croatia,2010,4898.00
1213,Adult,F,"Per hundred thousand inhabitants",Slovenia,2015,9.46
1214,Adult,M,Number,Switzerland,2020,5784.00
1215,Adult,M,Number,Croatia,2011,4784.00
1216,Adult,M,Number,Switzerland,2021,5696.00
1217,Adult,M,Number,Switzerland,2022,5830.00
1218,Adult,M,Number,Switzerland,2023,6185.00
1219,Adult,M,Number,Croatia,2012,4471.00
1220,Adult,F,"Per hundred thousand inhabitants",Slovenia,2016,11.90
1221,Adult,M,Number,Cyprus,2008,582.00
1222,Adult,M,Number,Croatia,2013,4081.00
1223,Adult,F,"Per hundred thousand inhabitants",Slovenia,2018,9.28
1224,Adult,M,Number,Cyprus,2009,519.00
1225,Adult,M,Number,Croatia,2014,3511.00
1226,Adult,F,"Per hundred thousand inhabitants",Slovenia,2019,8.57
1227,Adult,M,Number,Croatia,2015,3130.00
1228,Adult,M,Number,Cyprus,2010,577.00
1229,Adult,F,"Per hundred thousand inhabitants",Slovenia,2020,7.86
1230,Adult,M,Number,Croatia,2016,2947.00
1231,Adult,M,Number,Cyprus,2011,571.00
1232,Adult,F,"Per hundred thousand inhabitants",Slovenia,2021,6.34
1233,Adult,M,Number,Croatia,2017,2996.00
1234,Adult,M,Number,Cyprus,2012,609.00
1235,Adult,F,"Per hundred thousand inhabitants",Slovenia,2022,8.42
1236,Adult,M,Number,Croatia,2018,3009.00
1237,Adult,M,Number,Cyprus,2013,491.00
1238,Adult,F,"Per hundred thousand inhabitants",Slovenia,2023,8.96
1239,Adult,M,Number,Croatia,2019,3293.00
1240,Adult,M,Number,Cyprus,2014,479.00
1241,Adult,F,"Per hundred thousand inhabitants",Slovakia,2008,18.26
1242,Adult,M,Number,Croatia,2020,3299.00
1243,Adult,M,Number,Cyprus,2015,492.00
1244,Adult,M,Number,Croatia,2021,3669.00
1245,Adult,M,Number,Cyprus,2016,530.00
1246,Adult,M,Number,Croatia,2022,3835.00
1247,Adult,M,Number,Cyprus,2017,538.00
1248,Adult,F,"Per hundred thousand inhabitants",Slovakia,2009,21.73
1249,Adult,M,Number,Croatia,2023,4180.00
1250,Adult,M,Number,Cyprus,2018,567.00
1251,Adult,M,Number,Cyprus,2019,701.00
1252,Adult,M,Number,Hungary,2008,13289.00
1253,Adult,M,Number,Hungary,2009,13931.00
1254,Adult,M,Number,Cyprus,2020,557.00
1255,Adult,F,"Per hundred thousand inhabitants",Slovakia,2010,24.41
1256,Adult,M,Number,Hungary,2010,14758.00
1257,Adult,M,Number,Cyprus,2021,692.00
1258,Adult,F,"Per hundred thousand inhabitants",Slovakia,2011,27.28
1259,Adult,M,Number,Hungary,2011,15470.00
1260,Adult,M,Number,Cyprus,2022,876.00
1261,Adult,M,Number,Hungary,2012,15440.00
1262,Adult,M,Number,Cyprus,2023,876.00
1263,Adult,M,Number,Hungary,2013,16027.00
1264,Adult,M,Number,Czechia,2010,20410.00
1265,Adult,M,Number,Hungary,2014,16134.00
1266,Adult,M,Number,Czechia,2011,21485.00
1267,Adult,M,Number,Hungary,2015,15862.00
1268,Adult,M,Number,Hungary,2016,16071.00
1269,Adult,M,Number,Czechia,2012,20994.00
1270,Adult,M,Number,Albania,2021,4874.00
1271,Adult,M,Number,Hungary,2017,15838.00
1272,Adult,M,Number,Czechia,2013,15578.00
1273,Adult,M,Number,Montenegro,2017,1081.00
1274,Adult,M,Number,Albania,2022,4980.00
1275,Adult,M,Number,Hungary,2018,14905.00
1276,Adult,M,Number,Hungary,2019,14912.00
1277,Adult,M,Number,Montenegro,2018,1108.00
1278,Adult,M,Number,Hungary,2020,15334.00
1279,Adult,M,Number,Montenegro,2019,1054.00
1280,Adult,M,Number,Hungary,2021,17042.00
1281,Adult,M,Number,Hungary,2022,17784.00
1282,Adult,M,Number,Albania,2023,4919.00
1283,Adult,M,Number,Montenegro,2020,774.00
1284,Adult,M,Number,Hungary,2023,16331.00
1285,Adult,M,Number,Montenegro,2021,881.00
1286,Adult,M,Number,Austria,2009,7453.00
1287,Adult,M,Number,Ireland,2008,3313.00
1288,Adult,M,Number,Montenegro,2022,984.00
1289,Adult,M,Number,Austria,2010,7866.00
1290,Adult,M,Number,Ireland,2009,3690.00
1291,Adult,M,Number,Montenegro,2023,1006.00
1292,Adult,M,Number,Austria,2011,8060.00
1293,Adult,M,Number,"North Macedonia",2009,2160.00
1294,Adult,M,Number,Austria,2012,8113.00
1295,Adult,M,Number,Czechia,2014,17387.00
1296,Adult,M,Number,"North Macedonia",2010,2160.00
1297,Adult,M,Number,Austria,2013,8221.00
1298,Adult,M,Number,Czechia,2015,19338.00
1299,Adult,M,Number,Ireland,2010,3560.00
1300,Adult,M,Number,"North Macedonia",2011,2162.00
1301,Adult,M,Number,Austria,2014,8111.00
1302,Adult,M,Number,Ireland,2011,3575.00
1303,Adult,M,Number,Czechia,2016,20761.00
1304,Adult,M,Number,"North Macedonia",2016,3111.00
1305,Adult,M,Number,Austria,2015,8057.00
1306,Adult,M,Number,Ireland,2012,3569.00
1307,Adult,M,Number,Czechia,2017,20375.00
1308,Adult,M,Number,"North Macedonia",2017,2680.00
1309,Adult,M,Number,Ireland,2013,3588.00
1310,Adult,M,Number,Czechia,2018,19876.00
1311,Adult,M,Number,"North Macedonia",2022,2142.00
1312,Adult,M,Number,Ireland,2014,3084.00
1313,Adult,M,Number,Austria,2016,8022.00
1314,Adult,M,Number,Czechia,2019,19247.00
1315,Adult,M,Number,"North Macedonia",2023,2184.00
1316,Adult,M,Number,Ireland,2015,3035.00
1317,Adult,M,Number,Czechia,2020,17637.00
1318,Adult,M,Number,Malta,2008,572.00
1319,Adult,M,Number,Czechia,2021,17167.00
1320,Adult,M,Number,Ireland,2016,2969.00
1321,Adult,M,Number,Malta,2009,437.00
1322,Adult,M,Number,Austria,2017,8202.00
1323,Adult,M,Number,Czechia,2022,17388.00
1324,Adult,M,Number,Ireland,2018,3796.00
1325,Adult,M,Number,Malta,2010,516.00
1326,Adult,M,Number,Austria,2018,8479.00
1327,Adult,M,Number,Ireland,2019,3836.00
1328,Adult,M,Number,Czechia,2023,17772.00
1329,Adult,M,Number,Malta,2011,521.00
1330,Adult,M,Number,Austria,2019,8325.00
1331,Adult,M,Number,Ireland,2020,3659.00
1332,Adult,M,Number,Germany,2008,69863.00
1333,Adult,M,Number,Malta,2012,506.00
1334,Adult,M,Number,Austria,2020,7853.00
1335,Adult,M,Number,Ireland,2021,3660.00
1336,Adult,M,Number,Germany,2009,68438.00
1337,Adult,M,Number,Malta,2013,558.00
1338,Adult,M,Number,Austria,2021,7823.00
1339,Adult,M,Number,Ireland,2022,4165.00
1340,Adult,M,Number,Germany,2010,66982.00
1341,Adult,M,Number,Malta,2014,530.00
1342,Adult,M,Number,Austria,2022,8308.00
1343,Adult,M,Number,Ireland,2023,4500.00
1344,Adult,M,Number,Germany,2011,65616.00
1345,Adult,M,Number,Malta,2015,514.00
1346,Adult,M,Number,Austria,2023,8365.00
1347,Adult,M,Number,Germany,2012,64590.00
1348,Adult,M,Number,Malta,2016,500.00
1349,Adult,M,Number,Germany,2013,62424.00
1350,Adult,M,Number,Malta,2017,517.00
1351,Adult,M,Number,Germany,2014,59589.00
1352,Adult,M,Number,Malta,2018,544.00
1353,Adult,M,Number,"Bosnia and Herzegovina",2010,2161.00
1354,Adult,M,Number,Germany,2015,59411.00
1355,Adult,M,Number,Malta,2019,672.00
1356,Adult,M,Number,"Bosnia and Herzegovina",2011,2193.00
1357,Adult,M,Number,Denmark,2009,3523.00
1358,Adult,M,Number,Malta,2020,771.00
1359,Adult,M,Number,Denmark,2010,3743.00
1360,Adult,M,Number,Malta,2021,556.00
1361,Adult,M,Number,Denmark,2011,3774.00
1362,Adult,M,Number,Malta,2022,504.00
1363,Adult,M,Number,Denmark,2012,3673.00
1364,Adult,M,Number,Malta,2023,623.00
1365,Adult,M,Number,Denmark,2013,3890.00
1366,Adult,M,Number,Denmark,2014,3429.00
1367,Adult,M,Number,Netherlands,2008,12877.00
1368,Adult,M,Number,Denmark,2015,3079.00
1369,Adult,M,Number,Netherlands,2009,12794.00
1370,Adult,M,Number,Denmark,2016,3242.00
1371,Adult,M,Number,Netherlands,2010,12841.00
1372,Adult,M,Number,Netherlands,2011,12631.00
1373,Adult,M,Number,Netherlands,2012,12216.00
1374,Adult,M,Number,Denmark,2017,3274.00
1375,Adult,M,Number,Netherlands,2013,11575.00
1376,Adult,M,Number,"Bosnia and Herzegovina",2013,2465.00
1377,Adult,M,Number,Denmark,2018,3491.00
1378,Adult,M,Number,Denmark,2019,3729.00
1379,Adult,M,Number,Netherlands,2014,10811.00
1380,Adult,M,Number,"Bosnia and Herzegovina",2014,2477.00
1381,Adult,M,Number,Denmark,2020,3971.00
1382,Adult,M,Number,Netherlands,2015,9950.00
1383,Adult,M,Number,Iceland,2008,129.00
1384,Adult,M,Number,Denmark,2021,4029.00
1385,Adult,M,Number,Netherlands,2016,9614.00
1386,Adult,M,Number,Iceland,2009,136.00
1387,Adult,M,Number,Denmark,2022,3995.00
1388,Adult,M,Number,Netherlands,2017,9876.00
1389,Adult,M,Number,Iceland,2010,159.00
1390,Adult,M,Number,Iceland,2011,140.00
1391,Adult,M,Number,Denmark,2023,3933.00
1392,Adult,M,Number,Netherlands,2018,10238.00
1393,Adult,M,Number,Iceland,2012,139.00
1394,Adult,M,Number,"Bosnia and Herzegovina",2015,2212.00
1395,Adult,M,Number,Netherlands,2019,10643.00
1396,Adult,M,Number,Iceland,2013,141.00
1397,Adult,M,Number,Netherlands,2020,10070.00
1398,Adult,M,Number,Netherlands,2021,10278.00
1399,Adult,M,Number,Iceland,2014,151.00
1400,Adult,M,Number,Estonia,2008,3224.00
1401,Adult,M,Number,Netherlands,2022,10246.00
1402,Adult,M,Number,Iceland,2015,131.00
1403,Adult,M,Number,Estonia,2009,3371.00
1404,Adult,M,Number,Netherlands,2023,10681.00
1405,Adult,M,Number,Iceland,2016,109.00
1406,Adult,M,Number,Estonia,2010,3157.00
1407,Adult,M,Number,"Bosnia and Herzegovina",2016,2166.00
1408,Adult,M,Number,Iceland,2017,126.00
1409,Adult,M,Number,Estonia,2011,3190.00
1410,Adult,M,Number,Norway,2008,3222.00
1411,Adult,M,Number,"Bosnia and Herzegovina",2017,2287.00
1412,Adult,M,Number,Iceland,2018,128.00
1413,Adult,M,Number,Norway,2009,3043.00
1414,Adult,M,Number,Iceland,2019,146.00
1415,Adult,M,Number,Norway,2010,3270.00
1416,Adult,M,Number,Estonia,2012,3088.00
1417,Adult,M,Number,Norway,2011,3556.00
1418,Adult,M,Number,Iceland,2020,133.00
1419,Adult,M,Number,"Bosnia and Herzegovina",2018,3040.00
1420,Adult,M,Number,Estonia,2013,2936.00
1421,Adult,M,Number,Norway,2012,3720.00
1422,Adult,M,Number,Iceland,2021,130.00
1423,Adult,M,Number,"Bosnia and Herzegovina",2019,4373.00
1424,Adult,M,Number,Iceland,2022,126.00
1425,Adult,M,Number,"Bosnia and Herzegovina",2020,2823.00
1426,Adult,M,Number,Iceland,2023,125.00
1427,Adult,M,Number,"Bosnia and Herzegovina",2021,2853.00
1428,Adult,M,Number,Italy,2008,55601.00
1429,Adult,M,Number,"Bosnia and Herzegovina",2022,2768.00
1430,Adult,M,Number,Italy,2009,62040.00
1431,Adult,M,Number,"Bosnia and Herzegovina",2023,2213.00
1432,Adult,M,Number,Italy,2010,65031.00
1433,Adult,M,Number,Belgium,2008,9298.00
1434,Adult,M,Number,Italy,2011,64089.00
1435,Adult,M,Number,Italy,2012,62897.00
1436,Adult,M,Number,Italy,2013,59842.00
1437,Adult,M,Number,Estonia,2015,2646.00
1438,Adult,M,Number,Italy,2014,51319.00
1439,Adult,M,Number,Belgium,2009,9671.00
1440,Adult,M,Number,Italy,2015,50057.00
1441,Adult,M,Number,Estonia,2016,2658.00
1442,Adult,M,Number,Italy,2016,52368.00
1443,Adult,M,Number,Italy,2017,55187.00
1444,Adult,M,Number,Italy,2018,57079.00
1445,Adult,M,Number,Belgium,2010,10023.00
1446,Adult,M,Number,Italy,2019,58106.00
1447,Adult,M,Number,Estonia,2017,2563.00
1448,Adult,M,Number,Belgium,2011,10499.00
1449,Adult,M,Number,Italy,2020,51109.00
1450,Adult,M,Number,Estonia,2018,2448.00
1451,Adult,M,Number,Belgium,2012,10638.00
1452,Adult,M,Number,Norway,2013,3628.00
1453,Adult,M,Number,Italy,2021,51897.00
1454,Adult,M,Number,Estonia,2019,2360.00
1455,Adult,M,Number,Belgium,2013,11271.00
1456,Adult,M,Number,Norway,2014,3841.00
1457,Adult,M,Number,Estonia,2020,2246.00
1458,Adult,M,Number,Norway,2015,3777.00
1459,Adult,M,Number,Estonia,2021,2083.00
1460,Adult,M,Number,Norway,2016,3873.00
1461,Adult,M,Number,Estonia,2022,1968.00
1462,Adult,M,Number,Norway,2017,3814.00
1463,Adult,M,Number,Estonia,2023,1752.00
1464,Adult,M,Number,Norway,2018,3452.00
1465,Adult,M,Number,Norway,2019,3284.00
1466,Adult,M,Number,Belgium,2015,10345.00
1467,Adult,M,Number,Norway,2020,3280.00
1468,Adult,M,Number,Italy,2022,53831.00
1469,Adult,M,Number,Belgium,2017,10031.00
1470,Adult,M,Number,Norway,2021,3395.00
1471,Adult,M,Number,Italy,2023,57625.00
1472,Adult,M,Number,Belgium,2018,9800.00
1473,Adult,M,Number,Norway,2022,3456.00
1474,Adult,M,Number,Liechtenstein,2008,74.00
