ID,offence,sex,unit_of_measure,country_territory,recorded_year,recorded_value
1085,"Intentional homicide",Males,Number,Czechia,2021,879.00
1086,"Intentional homicide",Males,Number,Malta,2020,29.00
1087,"Intentional homicide",Females,Number,Latvia,2017,42.00
1088,"Intentional homicide",Females,Number,Latvia,2018,38.00
1089,"Intentional homicide",Females,Number,Latvia,2019,39.00
1090,"Intentional homicide",Males,Number,Czechia,2022,917.00
1091,"Intentional homicide",Females,Number,Latvia,2020,33.00
1092,"Intentional homicide",Males,Number,Czechia,2023,832.00
1093,"Intentional homicide",Males,Number,Malta,2021,47.00
1094,"Intentional homicide",Males,Number,Germany,2013,3546.00
1095,"Intentional homicide",Males,Number,Malta,2022,50.00
1096,"Intentional homicide",Males,Number,Malta,2023,53.00
1097,"Intentional homicide",Males,Number,Norway,2008,127.00
1098,"Intentional homicide",Males,Number,Germany,2014,3450.00
1099,"Intentional homicide",Males,Number,Germany,2015,3314.00
1100,"Intentional homicide",Males,Number,Norway,2009,121.00
1101,"Intentional homicide",Males,Number,Norway,2010,122.00
1102,"Intentional homicide",Males,Number,Finland,2011,548.00
1103,"Intentional homicide",Males,Number,Norway,2011,126.00
1104,"Intentional homicide",Males,Number,Finland,2012,542.00
1105,"Intentional homicide",Females,Number,Latvia,2021,33.00
1106,"Intentional homicide",Males,Number,Finland,2013,557.00
1107,"Intentional homicide",Females,Number,Latvia,2022,34.00
1108,"Intentional homicide",Males,Number,Romania,2023,4843.00
1109,"Intentional homicide",Males,Number,Norway,2012,131.00
1110,"Intentional homicide",Males,Number,Norway,2013,125.00
1111,"Intentional homicide",Males,Number,Finland,2014,548.00
1112,"Intentional homicide",Males,Number,Norway,2014,124.00
1113,"Intentional homicide",Males,Number,Finland,2015,544.00
1114,"Intentional homicide",Females,Number,Latvia,2023,33.00
1115,"Intentional homicide",Males,Number,Finland,2016,476.00
1116,"Intentional homicide",Females,Number,Montenegro,2008,1.00
1117,"Intentional homicide",Males,Number,Serbia,2013,603.00
1118,"Intentional homicide",Females,Number,Montenegro,2009,0.00
1119,"Intentional homicide",Males,Number,Serbia,2014,722.00
1120,"Intentional homicide",Females,Number,Montenegro,2010,0.00
1121,"Intentional homicide",Males,Number,Serbia,2015,753.00
1122,"Intentional homicide",Males,Number,Finland,2017,457.00
1123,"Intentional homicide",Males,Number,Serbia,2016,683.00
1124,"Intentional homicide",Males,Number,Finland,2018,434.00
1125,"Intentional homicide",Males,Number,Serbia,2017,700.00
1126,"Intentional homicide",Females,Number,Montenegro,2011,1.00
1127,"Intentional homicide",Males,Number,Finland,2019,429.00
1128,"Intentional homicide",Males,Number,Serbia,2018,739.00
1129,"Intentional homicide",Females,Number,Montenegro,2012,0.00
1130,"Intentional homicide",Males,Number,Finland,2020,432.00
1131,"Intentional homicide",Males,Number,Serbia,2019,689.00
1132,"Intentional homicide",Females,Number,Montenegro,2013,0.00
1133,"Intentional homicide",Males,Number,Serbia,2020,704.00
1134,"Intentional homicide",Males,Number,Serbia,2021,708.00
1135,"Intentional homicide",Males,Number,Serbia,2022,782.00
1136,"Intentional homicide",Males,Number,Finland,2021,441.00
1137,"Intentional homicide",Males,Number,Serbia,2023,820.00
1138,"Intentional homicide",Males,Number,Finland,2022,425.00
1139,"Intentional homicide",Males,Number,Sweden,2008,408.00
1140,"Intentional homicide",Females,Number,Montenegro,2014,2.00
1141,"Intentional homicide",Males,Number,Sweden,2009,422.00
1142,"Intentional homicide",Females,Number,Montenegro,2015,1.00
1143,"Intentional homicide",Males,Number,Sweden,2010,443.00
1144,"Intentional homicide",Females,Number,Montenegro,2016,1.00
1145,"Intentional homicide",Males,Number,Sweden,2011,428.00
1146,"Intentional homicide",Males,Number,Sweden,2012,437.00
1147,"Intentional homicide",Males,Number,Finland,2023,275.00
1148,"Intentional homicide",Males,Number,Sweden,2013,535.00
1149,"Intentional homicide",Males,Number,France,2008,3301.00
1150,"Intentional homicide",Males,Number,Sweden,2014,525.00
1151,"Intentional homicide",Males,Number,France,2009,3230.00
1152,"Intentional homicide",Females,Number,Montenegro,2017,1.00
1153,"Intentional homicide",Males,Number,Sweden,2015,542.00
1154,"Intentional homicide",Males,Number,France,2010,3157.00
1155,"Intentional homicide",Females,Number,Montenegro,2018,1.00
1156,"Intentional homicide",Males,Number,Norway,2015,131.00
1157,"Intentional homicide",Females,Number,Montenegro,2019,0.00
1158,"Intentional homicide",Males,Number,Norway,2016,128.00
1159,"Intentional homicide",Males,Number,Norway,2017,130.00
1160,"Intentional homicide",Males,Number,France,2011,3153.00
1161,"Intentional homicide",Males,Number,France,2012,3168.00
1162,"Intentional homicide",Females,Number,Montenegro,2020,0.00
1163,"Intentional homicide",Males,Number,Norway,2018,148.00
1164,"Intentional homicide",Females,Number,Montenegro,2021,0.00
1165,"Intentional homicide",Males,Number,Norway,2019,148.00
1166,"Intentional homicide",Females,Number,Montenegro,2022,3.00
1167,"Intentional homicide",Males,Number,France,2013,3764.00
1168,"Intentional homicide",Males,Number,France,2014,3580.00
1169,"Intentional homicide",Males,Number,France,2015,2889.00
1170,"Intentional homicide",Females,Number,Montenegro,2023,0.00
1171,"Intentional homicide",Males,Number,France,2016,4626.00
1172,"Intentional homicide",Males,Number,France,2017,6631.00
1173,"Intentional homicide",Males,Number,France,2018,7055.00
1174,"Intentional homicide",Males,Number,Sweden,2016,552.00
1175,"Intentional homicide",Males,Number,France,2019,7240.00
1176,"Intentional homicide",Males,Number,Sweden,2017,601.00
1177,"Intentional homicide",Males,Number,France,2020,4313.00
1178,"Intentional homicide",Males,Number,Sweden,2018,615.00
1179,"Intentional homicide",Males,Number,France,2021,4427.00
1180,"Intentional homicide",Females,Number,Malta,2013,1.00
1181,"Intentional homicide",Males,Number,Sweden,2019,637.00
1182,"Intentional homicide",Males,Number,France,2023,4885.00
1183,"Intentional homicide",Females,Number,Malta,2014,0.00
1184,"Intentional homicide",Males,Number,Sweden,2020,696.00
1185,"Intentional homicide",Males,Number,Croatia,2008,426.00
1186,"Intentional homicide",Females,Number,Malta,2015,0.00
1187,"Intentional homicide",Males,Number,Sweden,2021,759.00
1188,"Intentional homicide",Males,Number,Sweden,2022,852.00
1189,"Intentional homicide",Males,Number,Sweden,2023,913.00
1190,"Intentional homicide",Males,Number,Croatia,2009,429.00
1191,"Intentional homicide",Males,Number,Norway,2020,143.00
1192,"Intentional homicide",Males,Number,Slovenia,2016,71.00
1193,"Intentional homicide",Males,Number,Slovenia,2017,83.00
1194,"Intentional homicide",Females,Number,Malta,2016,0.00
1195,"Intentional homicide",Males,Number,Slovenia,2018,75.00
1196,"Intentional homicide",Females,Number,Malta,2017,0.00
1197,"Intentional homicide",Males,Number,Croatia,2010,411.00
1198,"Intentional homicide",Males,Number,Slovenia,2019,97.00
1199,"Intentional homicide",Males,Number,Croatia,2012,381.00
1200,"Intentional homicide",Males,Number,Croatia,2013,386.00
1201,"Intentional homicide",Females,Number,Malta,2018,0.00
1202,"Intentional homicide",Males,Number,Croatia,2014,375.00
1203,"Intentional homicide",Females,Number,Malta,2019,0.00
1204,"Intentional homicide",Males,Number,Croatia,2015,323.00
1205,"Intentional homicide",Females,Number,Malta,2020,0.00
1206,"Intentional homicide",Males,Number,Croatia,2018,310.00
1207,"Intentional homicide",Females,Number,Malta,2021,1.00
1208,"Intentional homicide",Males,Number,Norway,2021,150.00
1209,"Intentional homicide",Males,Number,Norway,2022,145.00
1210,"Intentional homicide",Females,Number,Malta,2022,1.00
1211,"Intentional homicide",Males,Number,Croatia,2019,289.00
1212,"Intentional homicide",Males,Number,Norway,2023,143.00
1213,"Intentional homicide",Females,Number,Malta,2023,1.00
1214,"Intentional homicide",Males,Number,Croatia,2020,273.00
1215,"Intentional homicide",Males,Number,Poland,2016,4012.00
1216,"Intentional homicide",Males,Number,Croatia,2021,292.00
1217,"Intentional homicide",Males,Number,Croatia,2022,310.00
1218,"Intentional homicide",Females,Number,Norway,2008,9.00
1219,"Intentional homicide",Males,Number,Croatia,2023,300.00
1220,"Intentional homicide",Males,Number,Hungary,2013,1332.00
1221,"Intentional homicide",Females,Number,Norway,2009,11.00
1222,"Intentional homicide",Males,Number,Poland,2017,3999.00
1223,"Intentional homicide",Females,Number,Norway,2010,11.00
1224,"Intentional homicide",Females,Number,Norway,2011,12.00
1225,"Intentional homicide",Males,Number,Poland,2018,4021.00
1226,"Intentional homicide",Females,Number,Norway,2012,9.00
1227,"Intentional homicide",Males,Number,Hungary,2014,1382.00
1228,"Intentional homicide",Males,Number,Hungary,2015,1266.00
1229,"Intentional homicide",Females,Number,Norway,2013,6.00
1230,"Intentional homicide",Males,Number,Poland,2019,4052.00
1231,"Intentional homicide",Males,Number,Slovenia,2020,96.00
1232,"Intentional homicide",Males,Number,Poland,2020,4001.00
1233,"Intentional homicide",Males,Number,Slovenia,2021,86.00
1234,"Intentional homicide",Males,Number,Poland,2021,3967.00
1235,"Intentional homicide",Males,Number,Slovenia,2022,93.00
1236,"Intentional homicide",Males,Number,Poland,2022,3976.00
1237,"Intentional homicide",Males,Number,Hungary,2017,1530.00
1238,"Intentional homicide",Males,Number,Slovenia,2023,106.00
1239,"Intentional homicide",Males,Number,Hungary,2018,227.00
1240,"Intentional homicide",Males,Number,Slovakia,2014,464.00
1241,"Intentional homicide",Males,Number,Hungary,2019,428.00
1242,"Intentional homicide",Males,Number,Slovakia,2015,463.00
1243,"Intentional homicide",Males,Number,Hungary,2020,629.00
1244,"Intentional homicide",Males,Number,Poland,2023,3989.00
1245,"Intentional homicide",Males,Number,Slovakia,2016,462.00
1246,"Intentional homicide",Females,Number,Norway,2014,9.00
1247,"Intentional homicide",Males,Number,Portugal,2008,327.00
1248,"Intentional homicide",Females,Number,Norway,2015,11.00
1249,"Intentional homicide",Females,Number,Norway,2016,12.00
1250,"Intentional homicide",Females,Number,Norway,2017,14.00
1251,"Intentional homicide",Males,Number,Hungary,2021,782.00
1252,"Intentional homicide",Females,Number,Norway,2018,17.00
1253,"Intentional homicide",Males,Number,Slovakia,2017,349.00
1254,"Intentional homicide",Males,Number,Portugal,2009,328.00
1255,"Intentional homicide",Males,Number,Slovakia,2018,365.00
1256,"Intentional homicide",Males,Number,Portugal,2010,327.00
1257,"Intentional homicide",Males,Number,Slovakia,2019,387.00
1258,"Intentional homicide",Females,Number,Norway,2019,16.00
1259,"Intentional homicide",Males,Number,Slovakia,2020,409.00
1260,"Intentional homicide",Males,Number,Slovakia,2021,429.00
1261,"Intentional homicide",Males,Number,Slovakia,2023,427.00
1262,"Intentional homicide",Males,Number,Türkiye,2009,1466.00
1263,"Intentional homicide",Males,Number,Türkiye,2010,2838.00
1264,"Intentional homicide",Males,Number,Türkiye,2011,3358.00
1265,"Intentional homicide",Males,Number,Hungary,2022,952.00
1266,"Intentional homicide",Females,Number,Norway,2020,17.00
1267,"Intentional homicide",Males,Number,Hungary,2023,1050.00
1268,"Intentional homicide",Males,Number,Ireland,2013,393.00
1269,"Intentional homicide",Females,Number,Norway,2021,17.00
1270,"Intentional homicide",Males,Number,Iceland,2013,18.00
1271,"Intentional homicide",Females,Number,Norway,2022,15.00
1272,"Intentional homicide",Males,Number,Iceland,2017,6.00
1273,"Intentional homicide",Females,Number,Norway,2023,13.00
1274,"Intentional homicide",Females,Number,Poland,2016,364.00
1275,"Intentional homicide",Males,Number,Iceland,2018,7.00
1276,"Intentional homicide",Males,Number,Italy,2008,5415.00
1277,"Intentional homicide",Males,Number,Italy,2009,5689.00
1278,"Intentional homicide",Males,Number,Italy,2010,5851.00
1279,"Intentional homicide",Males,Number,Türkiye,2012,6262.00
1280,"Intentional homicide",Males,Number,Italy,2011,5911.00
1281,"Intentional homicide",Males,Number,Türkiye,2013,24668.00
1282,"Intentional homicide",Males,Number,Portugal,2011,320.00
1283,"Intentional homicide",Males,Number,Italy,2012,6016.00
1284,"Intentional homicide",Males,Number,Türkiye,2014,26296.00
1285,"Intentional homicide",Males,Number,Portugal,2012,318.00
1286,"Intentional homicide",Males,Number,Türkiye,2015,27640.00
1287,"Intentional homicide",Males,Number,Portugal,2013,318.00
1288,"Intentional homicide",Males,Number,Türkiye,2016,29070.00
1289,"Intentional homicide",Males,Number,Türkiye,2018,33186.00
1290,"Intentional homicide",Males,Number,Türkiye,2019,33851.00
1291,"Intentional homicide",Males,Number,Türkiye,2020,36094.00
1292,"Intentional homicide",Males,Number,Portugal,2014,304.00
1293,"Intentional homicide",Males,"Per hundred thousand inhabitants",Austria,2018,7.72
1294,"Intentional homicide",Males,Number,Türkiye,2021,37738.00
1295,"Intentional homicide",Males,Number,Türkiye,2022,40896.00
1296,"Intentional homicide",Males,"Per hundred thousand inhabitants",Austria,2019,7.94
1297,"Intentional homicide",Males,Number,Türkiye,2023,33932.00
1298,"Intentional homicide",Males,"Per hundred thousand inhabitants",Austria,2020,8.15
1299,"Intentional homicide",Males,Number,"England and Wales",2008,4395.00
1300,"Intentional homicide",Males,"Per hundred thousand inhabitants",Austria,2021,8.07
1301,"Intentional homicide",Males,Number,Portugal,2015,299.00
1302,"Intentional homicide",Males,Number,"England and Wales",2009,4809.00
1303,"Intentional homicide",Males,"Per hundred thousand inhabitants",Austria,2022,7.80
1304,"Intentional homicide",Males,Number,Portugal,2016,283.00
1305,"Intentional homicide",Males,Number,"England and Wales",2010,4587.00
1306,"Intentional homicide",Males,"Per hundred thousand inhabitants",Austria,2023,8.27
1307,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2014,15.32
1308,"Intentional homicide",Males,Number,"England and Wales",2011,4829.00
1309,"Intentional homicide",Males,"Per hundred thousand inhabitants",Belgium,2008,15.26
1310,"Intentional homicide",Males,Number,"England and Wales",2012,4979.00
1311,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2015,14.37
1312,"Intentional homicide",Males,"Per hundred thousand inhabitants",Belgium,2009,14.69
1313,"Intentional homicide",Males,Number,"England and Wales",2013,5015.00
1314,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2016,15.06
1315,"Intentional homicide",Males,"Per hundred thousand inhabitants",Belgium,2010,15.29
1316,"Intentional homicide",Males,Number,"England and Wales",2014,5015.00
1317,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2017,15.51
1318,"Intentional homicide",Males,"Per hundred thousand inhabitants",Belgium,2011,14.83
1319,"Intentional homicide",Males,"Per hundred thousand inhabitants",Belgium,2012,15.17
1320,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2018,15.26
1321,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2019,15.51
1322,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2008,28.03
1323,"Intentional homicide",Males,Number,"England and Wales",2015,5076.00
1324,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2020,14.82
1325,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2009,27.42
1326,"Intentional homicide",Males,Number,"England and Wales",2016,5225.00
1327,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2021,12.49
1328,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2010,25.60
1329,"Intentional homicide",Males,Number,"England and Wales",2017,5195.00
1330,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2022,14.16
1331,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2011,26.08
1332,"Intentional homicide",Males,"Per hundred thousand inhabitants",Greece,2023,11.60
1333,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2012,26.47
1334,"Intentional homicide",Males,"Per hundred thousand inhabitants",Spain,2008,12.49
1335,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2013,25.42
1336,"Intentional homicide",Males,"Per hundred thousand inhabitants",Spain,2009,13.43
1337,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2014,24.43
1338,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2015,22.04
1339,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2016,22.26
1340,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2017,23.62
1341,"Intentional homicide",Males,Number,Portugal,2017,272.00
1342,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2018,23.17
1343,"Intentional homicide",Males,Number,Portugal,2018,265.00
1344,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2019,23.91
1345,"Intentional homicide",Males,Number,Portugal,2019,234.00
1346,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2020,23.77
1347,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2021,21.29
1348,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2022,23.50
1349,"Intentional homicide",Males,"Per hundred thousand inhabitants",Bulgaria,2023,24.04
1350,"Intentional homicide",Males,Number,Portugal,2020,228.00
1351,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2008,11.99
1352,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2009,12.12
1353,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2010,11.88
1354,"Intentional homicide",Males,Number,Portugal,2021,240.00
1355,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2011,11.76
1356,"Intentional homicide",Males,Number,Portugal,2022,226.00
1357,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2012,11.78
1358,"Intentional homicide",Males,Number,"England and Wales",2018,5188.00
1359,"Intentional homicide",Males,Number,Romania,2008,5533.00
1360,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2013,11.77
1361,"Intentional homicide",Males,Number,"Scotland (NUTS 2021)",2008,788.00
1362,"Intentional homicide",Males,Number,Romania,2009,5292.00
1363,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2014,11.29
1364,"Intentional homicide",Males,Number,Romania,2010,5240.00
1365,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2015,12.22
1366,"Intentional homicide",Males,Number,Romania,2011,5375.00
1367,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2016,12.62
1368,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2017,12.72
1369,"Intentional homicide",Males,Number,"Scotland (NUTS 2021)",2009,800.00
1370,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2018,12.55
1371,"Intentional homicide",Males,Number,"Scotland (NUTS 2021)",2010,775.00
1372,"Intentional homicide",Males,Number,Romania,2012,5361.00
1373,"Intentional homicide",Males,Number,Romania,2013,6013.00
1374,"Intentional homicide",Males,Number,Romania,2014,6015.00
1375,"Intentional homicide",Males,Number,Romania,2015,6194.00
1376,"Intentional homicide",Males,Number,Romania,2016,5946.00
1377,"Intentional homicide",Males,Number,Romania,2017,5332.00
1378,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2019,13.88
1379,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2020,13.94
1380,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2021,13.06
1381,"Intentional homicide",Males,Number,Romania,2018,4829.00
1382,"Intentional homicide",Males,"Per hundred thousand inhabitants",Switzerland,2022,11.73
1383,"Intentional homicide",Males,Number,Romania,2019,4624.00
1384,"Intentional homicide",Males,"Per hundred thousand inhabitants",Cyprus,2009,4.36
1385,"Intentional homicide",Males,Number,Romania,2020,4764.00
1386,"Intentional homicide",Males,"Per hundred thousand inhabitants",Cyprus,2010,4.50
1387,"Intentional homicide",Males,Number,Romania,2021,5189.00
1388,"Intentional homicide",Males,"Per hundred thousand inhabitants",Cyprus,2011,4.40
1389,"Intentional homicide",Males,Number,Romania,2022,4873.00
1390,"Intentional homicide",Males,"Per hundred thousand inhabitants",Cyprus,2012,4.53
1391,"Intentional homicide",Males,"Per hundred thousand inhabitants",Cyprus,2013,3.80
1392,"Intentional homicide",Males,"Per hundred thousand inhabitants",Cyprus,2022,13.38
1393,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2011,22.36
1394,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2012,19.79
1395,"Intentional homicide",Males,Number,"Scotland (NUTS 2021)",2011,778.00
1396,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2013,20.56
1397,"Intentional homicide",Males,Number,"Scotland (NUTS 2021)",2012,787.00
1398,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2014,20.40
1399,"Intentional homicide",Males,Number,"Scotland (NUTS 2021)",2013,807.00
1400,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2015,14.87
1401,"Intentional homicide",Males,Number,"Scotland (NUTS 2021)",2014,807.00
1402,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2016,20.69
1403,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2017,19.79
1404,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2018,18.99
1405,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2009,144.00
1406,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2019,17.71
1407,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2010,156.00
1408,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2020,17.15
1409,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2021,16.66
1410,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2022,17.69
1411,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2011,160.00
1412,"Intentional homicide",Males,"Per hundred thousand inhabitants",Czechia,2023,15.67
1413,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2012,153.00
1414,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2013,9.00
1415,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2013,169.00
1416,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2014,8.72
1417,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2014,209.00
1418,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2015,8.32
1419,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2016,7.87
1420,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2017,7.75
1421,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2015,180.00
1422,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2011,135.52
1423,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2016,162.00
1424,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2012,136.83
1425,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2018,7.78
1426,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2013,132.74
1427,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2019,7.69
1428,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2014,131.64
1429,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2020,7.73
1430,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2017,153.00
1431,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2015,121.89
1432,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2021,7.65
1433,"Intentional homicide",Males,Number,"Northern Ireland (UK) (NUTS 2021)",2018,159.00
1434,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2016,118.08
1435,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2022,7.55
1436,"Intentional homicide",Males,Number,Kosovo*,2009,272.00
1437,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2017,115.38
1438,"Intentional homicide",Males,Number,Kosovo*,2010,442.00
1439,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2018,112.16
1440,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2019,106.59
1441,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2020,99.13
1442,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2021,93.79
1443,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2022,87.17
1444,"Intentional homicide",Males,Number,Kosovo*,2011,392.00
1445,"Intentional homicide",Males,"Per hundred thousand inhabitants",Lithuania,2023,73.74
1446,"Intentional homicide",Males,Number,Kosovo*,2012,402.00
1447,"Intentional homicide",Males,"Per hundred thousand inhabitants",Luxembourg,2011,14.53
1448,"Intentional homicide",Males,Number,Kosovo*,2013,422.00
1449,"Intentional homicide",Males,"Per hundred thousand inhabitants",Luxembourg,2012,19.10
1450,"Intentional homicide",Males,"Per hundred thousand inhabitants",Luxembourg,2013,18.63
1451,"Intentional homicide",Males,"Per hundred thousand inhabitants",Luxembourg,2014,20.72
1452,"Intentional homicide",Males,Number,Kosovo*,2014,356.00
1453,"Intentional homicide",Males,"Per hundred thousand inhabitants",Luxembourg,2015,20.57
1454,"Intentional homicide",Males,Number,Kosovo*,2015,407.00
1455,"Intentional homicide",Males,"Per hundred thousand inhabitants",Luxembourg,2016,0.00
1456,"Intentional homicide",Males,Number,Kosovo*,2017,375.00
1457,"Intentional homicide",Males,"Per hundred thousand inhabitants",Luxembourg,2017,15.84
1458,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2013,72.96
1459,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2014,70.99
1460,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2015,65.41
1461,"Intentional homicide",Males,Number,Kosovo*,2018,347.00
1462,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2016,64.25
1463,"Intentional homicide",Males,Number,Kosovo*,2019,343.00
1464,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2017,63.53
1465,"Intentional homicide",Males,Number,Kosovo*,2020,333.00
1466,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2018,62.83
1467,"Intentional homicide",Males,"Per hundred thousand inhabitants",Albania,2008,68.43
1468,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2019,57.07
1469,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2020,31.33
1470,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2021,55.07
1471,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2022,57.42
1472,"Intentional homicide",Males,"Per hundred thousand inhabitants",Germany,2023,7.35
1473,"Intentional homicide",Males,"Per hundred thousand inhabitants",Latvia,2023,53.76
1474,"Intentional homicide",Males,"Per hundred thousand inhabitants",Denmark,2008,5.90
1475,"Intentional homicide",Males,"Per hundred thousand inhabitants",Montenegro,2008,4.29
1476,"Intentional homicide",Males,"Per hundred thousand inhabitants",Albania,2009,77.62
1477,"Intentional homicide",Males,"Per hundred thousand inhabitants",Montenegro,2009,4.93
1478,"Intentional homicide",Males,"Per hundred thousand inhabitants",Albania,2011,76.94
1479,"Intentional homicide",Males,"Per hundred thousand inhabitants",Montenegro,2010,5.24
1480,"Intentional homicide",Males,"Per hundred thousand inhabitants",Montenegro,2011,6.21
1481,"Intentional homicide",Males,"Per hundred thousand inhabitants",Denmark,2009,6.08
1482,"Intentional homicide",Males,"Per hundred thousand inhabitants",Montenegro,2012,3.59
1483,"Intentional homicide",Males,"Per hundred thousand inhabitants",Denmark,2010,6.45
1484,"Intentional homicide",Males,"Per hundred thousand inhabitants",Albania,2014,72.60
1485,"Intentional homicide",Males,"Per hundred thousand inhabitants",Montenegro,2013,4.89
1486,"Intentional homicide",Males,"Per hundred thousand inhabitants",Denmark,2011,7.00
